seq,date,match,format,R,B,4s,6s,dismissal,O,M,Rr,W,note
1,2023-10-05,MP A v MP B,Test,122,189,9,1,not out,35,8,72,3,2nd inn: 0 (5)
2,2023-10-12,MP A v MP B,Test,53,82,4,0,lbw b Rakesh,30,6,65,3,2nd inn: 12 (20)
3,2023-10-19,MP A v MP B,Test,100,155,6,1,c Aman b Nitin,36,9,70,3,2nd inn: 20 (30)
4,2023-10-26,MP A v MP B,Test,34,53,2,0,b Vivek,28,5,60,2,2nd inn: 0 (2)
5,2023-11-02,MP A v MP B,Test,85,132,5,1,c Deepak b Nitin,34,7,75,3,2nd inn: 15 (25)
6,2024-10-03,MP A v MP B,Test,30,47,2,0,b Nitin,25,5,55,2,2nd inn: 10 (18)
7,2024-10-10,MP A v MP B,Test,107,166,8,1,c Aman b Vivek,38,8,80,3,2nd inn: 15 (25)
8,2024-10-17,MP A v MP B,Test,49,76,3,1,lbw b Rakesh,32,6,68,3,2nd inn: 10 (15)
9,2024-10-24,MP A v MP B,Test,43,67,3,0,b Vivek,30,5,62,3,2nd inn: 10 (18)
10,2024-10-31,MP A v MP B,Test,106,160,8,1,c Aman b Nitin,42,9,90,4,2nd inn: 10 (17)
11,2022-09-04,MP A v MP B,ODI,59,62,9,1,c Dewi b Arshad,12,1,60,3,
12,2022-09-07,MP A v MP B,ODI,72,76,10,1,b Vora,11,1,55,3,
13,2022-09-10,MP A v MP B,ODI,28,30,4,0,b Kuldeep,10,0,50,2,
14,2022-09-14,MP A v MP B,ODI,102,108,15,1,not out,14,2,39,8,
15,2022-09-18,MP A v MP B,ODI,38,40,6,1,c Mantri b Khan,12,1,62,3,
16,2023-09-05,MP A v MP B,ODI,46,48,7,1,lbw b Avesh,11,0,58,3,
17,2023-09-08,MP A v MP B,ODI,84,88,12,0,not out,13,1,65,4,
18,2023-09-12,MP A v MP B,ODI,22,23,3,0,c Patidar b Senapati,10,0,52,2,
19,2023-09-16,MP A v MP B,ODI,52,55,8,1,run out Mantri,12,1,60,3,
20,2023-09-20,MP A v MP B,ODI,67,70,10,1,c Dubey b Khejroliya,13,1,68,4,
21,2024-09-05,MP A v MP B,ODI,45,47,7,1,c Agarwal b Avesh,11,0,56,3,
22,2024-09-08,MP A v MP B,ODI,77,81,11,0,c Khejroliya b Kartikeya,13,1,66,3,
23,2024-09-12,MP A v MP B,ODI,32,34,5,1,b Senapati,10,0,54,2,
24,2024-09-16,MP A v MP B,ODI,97,102,14,0,not out,14,2,72,3,
25,2024-09-20,MP A v MP B,ODI,62,67,9,1,b Vora,12,1,60,1,
26,2021-01-20,RJ A v RJ B,T20,58,25,7,5,c S Iyer b Tomar,3.3,0,20,2,
27,2021-02-12,RJ A v RJ B,T20,33,14,4,3,b Rohera,3,0,18,1,
28,2021-03-14,RJ A v RJ B,T20,76,33,9,7,b Vora,4,0,22,2,
29,2022-01-18,RJ A v RJ B,T20,38,16,5,4,c Mahajan b Rohera,3,0,20,1,
30,2022-02-20,RJ A v RJ B,T20,60,26,7,6,c Solanki b Rajawat,4,0,21,2,
31,2022-03-10,RJ A v RJ B,T20,26,11,3,2,lbw b Chouhan,3,0,18,1,
32,2023-01-22,RJ A v RJ B,T20,46,20,6,4,c Kushwaha b Surana,3,0,17,2,
33,2023-02-18,RJ A v RJ B,T20,21,9,3,2,b Shukla,3,0,15,1,
34,2023-03-12,RJ A v RJ B,T20,83,36,10,8,c Gurjar b Arshad,4,0,23,3,
35,2024-01-25,RJ A v RJ B,T20,52,23,6,5,c D Shukla b Kangale,4,0,20,2,
36,2024-02-22,RJ A v RJ B,T20,72,31,9,7,b Vora,3,0,21,2,
37,2024-03-14,RJ A v RJ B,T20,31,13,4,3,c Kushwaha b Khan,3,0,18,1,
38,2021-08-01,DE v DES,T20,40,17,5,4,c Akhil b Sahni,3,0,20,2,
39,2021-08-04,DE v DES,T20,65,28,8,6,c Kosta b Maurya,4,0,22,2,
40,2021-08-07,DE v DES,T20,25,11,3,2,b Gupta,3,0,18,1,
41,2021-08-11,DE v DES,T20,45,20,5,4,c Baghel b Sen,3,0,21,1,
42,2021-08-15,DE v DES,T20,32,14,4,3,b Shubham,3,0,19,1,
43,2021-08-20,DE v DES,T20,78,34,9,7,c Lakhera b Bansal,4,0,13,5,
44,2021-08-28,DE v DES,T20,53,23,6,5,c Gul b Maurya,4,0,21,2,
45,2022-08-10,DE v DES,T20,52,23,6,5,c Sharma b Tiwari,3,0,17,2,
46,2022-08-12,DE v DES,T20,68,29,8,6,b Vora,3,0,19,2,
47,2022-11-05,LSG A v LSG B,T20,52,23,6,5,c Rahul b Avesh,3,0,22,1,
48,2022-11-07,LSG A v LSG B,T20,70,30,8,7,c de Kock b Chameera,4,0,25,2,
49,2024-11-02,RCB A v RCB B,T20,53,23,6,5,run out Padikkal,3,0,17,2,
50,2024-11-06,RCB A v RCB B,T20,58,25,7,5,c Bethell b Rasikh,3,0,20,2,
51,2024-11-08,RCB A v RCB B,T20,72,31,9,7,b Vora,3.3,0,17,2,
52,2025-05-17,RCB v KKR,IPL,0,0,0,0,DNB (Rain),-,-,-,-,IPL M58 abandoned; no ball bowled
